features,coefficients
raspberry,0.270299179071942
Company_(Manufacturer)_Fruition,0.25337751559056937
complex,0.2221797052780607
long,0.213774880168101
balanced,0.20889941076650226
distinct,0.20672353533931703
Company_(Manufacturer)_Benoit Nihant,0.20434933807752437
fig,0.20100371442732587
Company_(Manufacturer)_Idilio (Felchlin),0.20071996561480915
Company_(Manufacturer)_Soma,0.20024858052845593
pungent,-0.245958343292919
pastey,-0.25971734963601106
burnt,-0.2606715247056405
this,-0.2837441414749189
Company_(Manufacturer)_Cote d' Or (Kraft),-0.2837441414749189
bitter,-0.292222994035709
off,-0.2973281512413927
very,-0.36499716658200326
chemical,-0.36926801154238764
medicinal,-0.37550477485899764
