Characteristics,Count,Percent
 cocoa,165,3.03
 nutty,136,2.5
 sweet,133,2.44
 roasty,124,2.28
creamy,121,2.22
 earthy,118,2.17
sandy,108,1.98
 sour,89,1.64
sweet,76,1.4
 fatty,73,1.34
 floral,72,1.32
 spicy,66,1.21
intense,64,1.18
nutty,60,1.1
fatty,60,1.1
 fruit,57,1.05
 coffee,53,0.97
 woody,52,0.96
sticky,48,0.88
 rich,48,0.88
floral,47,0.86
 vanilla,47,0.86
dry,46,0.85
roasty,44,0.81
spicy,43,0.79
 spice,41,0.75
 bitter,41,0.75
 caramel,38,0.7
gritty,38,0.7
 dried fruit,36,0.66
 molasses,36,0.66
earthy,35,0.64
 intense,34,0.62
 grassy,34,0.62
cocoa,34,0.62
 acidic,30,0.55
molasses,30,0.55
oily,30,0.55
 brownie,29,0.53
complex,28,0.51
 dairy,28,0.51
 tart,28,0.51
 fruity,28,0.51
 banana,27,0.5
 astringent,26,0.48
 off,26,0.48
dried fruit,25,0.46
 cherry,24,0.44
 metallic,24,0.44
 vegetal,23,0.42
 creamy,23,0.42
 tobacco,22,0.4
 rubbery,22,0.4
smooth,21,0.39
 melon,21,0.39
 rich cocoa,21,0.39
 honey,20,0.37
rich cocoa,20,0.37
 nut,20,0.37
 dirty,19,0.35
 smokey,19,0.35
 sandy,19,0.35
 hammy,19,0.35
 off notes,18,0.33
 smoke,18,0.33
 citrus,18,0.33
vanilla,18,0.33
 pungent,17,0.31
 burnt,17,0.31
coarse,17,0.31
grassy,16,0.29
smokey,16,0.29
fruity,15,0.28
 complex,15,0.28
 marshmallow,14,0.26
spice,14,0.26
 red berry,14,0.26
 mild bitter,13,0.24
 black pepper,13,0.24
chalky,13,0.24
 chemical,13,0.24
 medicinal,13,0.24
tart,13,0.24
strawberry,13,0.24
bitter,12,0.22
woody,12,0.22
 butterscotch,12,0.22
 rubber,12,0.22
 black licorice,12,0.22
 mild fruit,12,0.22
chewy,12,0.22
 licorice,12,0.22
 basic cocoa,12,0.22
 tangy,12,0.22
 sour milk,12,0.22
rich,11,0.2
 ham,11,0.2
fruit,11,0.2
 nuts,11,0.2
banana,11,0.2
smoke,11,0.2
 lemon,11,0.2
 rum,11,0.2
light color,10,0.18
 grapes,10,0.18
rustic,10,0.18
 green,10,0.18
 savory,10,0.18
 berry,10,0.18
caramel,10,0.18
pungent,10,0.18
 raisins,9,0.17
 sticky,9,0.17
dairy,9,0.17
 tea,9,0.17
 musty,9,0.17
 orange,9,0.17
muted,9,0.17
unrefined,9,0.17
 off note,9,0.17
 cardboard,9,0.17
 bourbon,9,0.17
 strawberry,9,0.17
 muted,8,0.15
 mint,8,0.15
 simple,8,0.15
acidic,8,0.15
 ashey,8,0.15
 woodsy,8,0.15
orange,8,0.15
 bright fruit,8,0.15
dark berry,8,0.15
 leathery,8,0.15
 leather,8,0.15
cherry,8,0.15
perfume,8,0.15
 raspberry,8,0.15
 coconut,8,0.15
astringent,8,0.15
red berry,8,0.15
black pepper,8,0.15
few grits,8,0.15
deep cocoa,8,0.15
 balanced,7,0.13
powdery,7,0.13
nuts,7,0.13
 gritty,7,0.13
very sweet,7,0.13
delicate,7,0.13
 fig,7,0.13
brownie,7,0.13
 bland,7,0.13
 toffee,7,0.13
raisins,7,0.13
vegetal,7,0.13
 choco,7,0.13
 harsh,7,0.13
green,6,0.11
off,6,0.11
bold,6,0.11
 cinamon,6,0.11
 very bitter,6,0.11
balanced,6,0.11
 tang,6,0.11
strong vanilla,6,0.11
